album_release_date,energy,valence,tempo
2017-06-08,0.693,0.293,115.875
2017-06-08,0.77,0.48,110.94
2017-06-08,0.726,0.637,94.983
2017-06-08,0.717,0.65,187.903
2017-06-08,0.661,0.411,96.011
2017-06-08,0.807,0.533,121.067
2017-06-08,0.618,0.464,124.523
2017-06-08,0.416,0.142,130.022
2017-06-08,0.578,0.528,168.042
2017-06-08,0.666,0.626,201.913
2017-06-08,0.628,0.384,144.3
2017-06-08,0.78,0.258,117.06
2017-06-08,0.195,0.255,135.542
2017-06-08,0.721,0.591,181.895
2017-06-08,0.0735,0.308,141.899
2017-06-08,0.272,0.402,166.155
2017-06-08,0.596,0.829,166.215
2017-06-08,0.524,0.514,176.738
2017-06-08,0.615,0.265,103.014
2017-06-08,0.635,0.155,129.821
2017-06-08,0.795,0.429,94.984
2017-06-08,0.771,0.383,165.902
2017-06-08,0.725,0.431,142.556
2017-06-08,0.469,0.0837,132.603
2017-06-08,0.596,0.294,144.833
2017-06-08,0.645,0.0798,126.003
2017-06-08,0.594,0.169,143.799
2017-06-08,0.917,0.46,136.086
2017-06-08,0.242,0.159,143.798
2017-06-08,0.357,0.362,131.879
2017-06-08,0.582,0.441,144.031
2017-05-31,0.13,0,111.9
2017-05-31,0.551,0.221,144.005
2017-05-31,0.394,0.137,129.981
2017-05-31,0.766,0.793,103.019
2017-05-31,0.757,0.459,100.992
2017-05-31,0.302,0.248,143.212
2017-05-31,0.383,0.19,117.877
2017-05-31,0.663,0.544,97.002
2017-05-31,0.675,0.196,76.028
2017-05-31,0.581,0.421,104.959
2017-05-31,0.487,0.621,99.946
2017-05-31,0.523,0.333,124.934
2017-05-31,0.742,0.72,103.022
2009-08-04,0.0597,0.036,101.085
2009-08-04,0.841,0.159,96.916
2009-08-04,0.323,0.132,79.238
2009-08-04,0.775,0.715,119.994
2009-08-04,0.902,0.598,133.959
2009-08-04,0.572,0.386,173.757
2009-08-04,0.873,0.499,136.773
2009-08-04,0.25,0.618,109.015
2009-08-04,0.519,0.932,93.994
2009-08-04,0.732,0.198,113.939
2009-08-04,0.655,0.568,131.961
2009-08-04,0.239,0.195,144.151
2009-08-04,0.169,0.2,124.063
2006-07-31,0.648,0.663,112.851
2006-07-31,0.676,0.756,83.476
2006-07-31,0.322,0.089,126.027
2006-07-31,0.625,0.414,100.995
2006-07-31,0.451,0.341,135.902
2006-07-31,0.612,0.835,117.96
2006-07-31,0.213,0.463,81.002
2006-07-31,0.622,0.426,93.564
2006-07-31,0.498,0.208,136.116
2006-07-31,0.562,0.666,90.987
2006-07-31,0.536,0.125,163.922
2006-07-31,0.135,0.235,112.916
2006-07-31,0.252,0.283,121.97
2005-08-01,0.148,0.0394,72.556
2005-08-01,0.66,0.528,102.973
2005-08-01,0.0847,0.408,97.991
2005-08-01,0.55,0.543,148.1
2005-08-01,0.906,0.679,157.933
2005-08-01,0.391,0.152,133.025
2005-08-01,0.538,0.588,79.033
2005-08-01,0.215,0.549,106.525
2005-08-01,0.679,0.694,127.015
2005-08-01,0.176,0.231,112.517
2005-08-01,0.128,0.126,128.506
2005-08-01,0.841,0.649,102.005
2005-08-01,0.141,0.22,78.909
2003-09-09,0.756,0.339,95.086
2003-09-09,0.881,0.53,97.971
2003-09-09,0.753,0.582,146.058
2003-09-09,0.474,0.228,143.506
2003-09-09,0.613,0.491,93.938
2003-09-09,0.887,0.636,96.073
2003-09-09,0.169,0.777,89.955
2003-09-09,0.885,0.63,113.025
2003-09-09,0.331,0.162,145.948
2003-09-09,0.789,0.18,171.905
2003-09-09,0.576,0.116,129.938
2003-09-09,0.359,0.148,78.036
2003-09-09,0.165,0.171,138.036
2003-09-09,0.134,0.33,147.052
2003-09-09,0.431,0.262,88.948
2003-09-09,0.883,0.811,124.464
2003-09-09,0.413,0.281,110.001
2003-09-09,0.479,0.495,174.418
2003-09-09,0.525,0.0997,122.181
2003-09-09,0.441,0.225,119.818
2003-09-09,0.867,0.752,159.846
2003-09-09,0.891,0.802,99.988
2003-09-09,0.699,0.513,121.266
2003-09-09,0.821,0.52,93.039
2003-09-09,0.144,0.565,118.64
2003-09-09,0.622,0.318,139.171
2003-09-09,0.295,0.205,172.918
2003-09-09,0.573,0.24,133.249
2003-04-02,0.709,0.889,124.389
2003-04-02,0.737,0.565,92.286
2003-04-02,0.265,0.499,177.848
2003-04-02,0.815,0.818,154.04
2003-04-02,0.431,0.186,91.961
2003-04-02,0.489,0.417,73.797
2003-04-02,0.637,0.619,117.068
2003-04-02,0.814,0.71,151.924
2003-04-02,0.537,0.151,120.58
2003-04-02,0.399,0.202,109.972
2003-04-02,0.775,0.854,90.005
2003-04-02,0.239,0.42,78.278
2003-04-02,0.537,0.187,129.966
2003-04-02,0.469,0.306,137.677
2003-04-02,0.802,0.549,112.066
2003-04-02,0.403,0.246,119.792
2003-04-02,0.333,0.292,73.943
2003-04-02,0.29,0.474,92.827
2003-04-02,0.256,0.679,93.996
2003-04-02,0.269,0.655,129.052
2003-04-02,0.257,0.166,91.912
2003-04-02,0.179,0.275,180.165
2003-04-02,0.373,0.16,129.573
2002-06-29,0.572,0.212,129.965
2002-06-29,0.511,0.738,128.493
2002-06-29,0.613,0.281,145.671
2002-06-29,0.332,0.276,77.958
2002-06-29,0.732,0.788,96.029
2002-06-29,0.639,0.309,147.136
2002-06-29,0.784,0.961,99.998
2002-06-29,0.454,0.24,109.949
2002-06-29,0.421,0.513,169.92
2002-06-29,0.539,0.441,93.015
2002-06-29,0.637,0.619,117.068
2002-06-29,0.221,0.206,100.386
2002-06-29,0.325,0.195,135.999
1999-06-29,0.16,0.147,68.477
1999-06-29,0.77,0.856,90.023
1999-06-29,0.815,0.818,154.04
1999-06-29,0.325,0.367,116.059
1999-06-29,0.278,0.465,177.823
1999-06-29,0.543,0.287,172.021
1999-06-29,0.817,0.594,88.02
1999-06-29,0.447,0.213,143.919
1999-06-29,0.727,0.778,113.303
1999-06-29,0.78,0.961,107.963
1999-06-29,0.551,0.158,120.976
1999-06-29,0.868,0.53,121.064
1999-06-29,0.416,0.0742,63.525
1997-12-06,0.728,0,0
1997-12-06,0.489,0.417,73.797
1997-12-06,0.869,0,137.942
1997-12-06,0.39,0.292,137.64
1997-12-06,0.328,0.206,92.007
1997-12-06,0.425,0.34,78.006
1997-12-06,0.268,0.199,137.32
1997-12-06,0.669,0.526,92.269
1997-12-06,0.397,0.499,83.006
1997-12-06,0.291,0.388,75.999
1997-12-06,0.257,0.919,166.918
1997-12-06,0.542,0.566,84.967
1997-12-06,0.29,0.189,175.665
1997-12-06,0.127,0.264,183.289
1997-12-06,0.341,0.153,214.028
